int_1,int_2,int_3,int_4,int_5,int_6,int_7,int_8,int_9,int_10,int_11,int_12,int_13,int_14,int_15,int_16,label
0,0,0,0,0,0,0,0,0.386056,0.606843,0.00710136,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0.385806,0.607097,0.00709677,0,0,0,0,0,blue
0,0,0,0,0,0,0,0.000645161,0.385806,0.605806,0.00774194,0,0,0,0,0,blue
0,0,0,0,0,0,0,0.00064433,0.385954,0.60567,0.00773196,0,0,0,0,0,blue
0,0,0,0,0,0,0,0.000645995,0.385013,0.606589,0.00775194,0,0,0,0,0,blue
0,0,0,0,0,0,0,0.000644745,0.386847,0.605416,0.0070922,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0.386202,0.606705,0.0070922,0,0,0,0,0,blue
0,0,0,0,0,0,0,0.000645161,0.385161,0.607097,0.00709677,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0.386202,0.606061,0.00773694,0,0,0,0,0,blue
0,0,0,0,0,0,0,0.00128866,0.384665,0.606314,0.00773196,0,0,0,0,0,blue
0,0,0,0,0,0,0,0.000641026,0.385256,0.605769,0.00833333,0,0,0,0,0,blue
0,0,0,0,0,0,0,0.00192061,0.382202,0.607554,0.00832266,0,0,0,0,0,blue
0,0,0,0,0,0,0,0.000640615,0.383088,0.607944,0.00832799,0,0,0,0,0,blue
0,0,0,0,0,0,0,0.00127959,0.382598,0.607166,0.00895713,0,0,0,0,0,blue
0,0,0,0,0,0,0,0.00192678,0.382787,0.606936,0.00834939,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0.384813,0.606178,0.00900901,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0.385061,0.60528,0.00965873,0,0,0,0,0,blue
0,0,0,0,0,0,0,0.000643501,0.382883,0.606821,0.00965251,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0.384961,0.605398,0.0096401,0,0,0,0,0,blue
0,0,0,0,0,0,0,0.000641026,0.382692,0.608333,0.00833333,0,0,0,0,0,blue
0,0,0,0,0,0,0,0.00192431,0.381013,0.609365,0.00769724,0,0,0,0,0,blue
0,0,0,0,0,0,0,0,0.383728,0.608584,0.00768738,0,0,0,0,0,blue
0,0,0,0,0,0,0,0.00128287,0.381655,0.609365,0.00769724,0,0,0,0,0,blue
0,0,0,0,0,0,0,0.000641849,0.381258,0.610398,0.00770218,0,0,0,0,0,blue
0,0,0,0,0,0,0,0.00192555,0.379332,0.609756,0.00898588,0,0,0,0,0,blue
0,0,0,0,0,0,0,0.00192926,0.379421,0.611576,0.00707395,0,0,0,0,0,blue
0,0,0,0,0,0,0,0.00192802,0.37982,0.61054,0.00771208,0,0,0,0,0,blue
0,0,0,0,0,0,0,0.00128205,0.377564,0.612179,0.00897436,0,0,0,0,0,blue
0,0,0,0,0,0,0,0.000641437,0.379731,0.611931,0.00769724,0,0,0,0,0,blue
0,0,0,0,0,0,0,0.00128452,0.379576,0.611432,0.00770713,0,0,0,0,0,blue
0,0,0,0,0,0,0,0.000639386,0.378517,0.613811,0.00703325,0,0,0,0,0,blue
